Squad,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
Arsenal,David Raya,es ESP,GK,28.0,38,38,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Arsenal,William Saliba,fr FRA,DF,23.0,35,35,3039.0,33.8,2.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0
Arsenal,Declan Rice,eng ENG,MF,25.0,35,33,2825.0,31.4,4.0,7.0,11.0,4.0,0.0,0.0,7.0,1.0
Arsenal,Thomas Partey,gh GHA,"MF,DF",31.0,35,31,2797.0,31.1,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0
Arsenal,Leandro Trossard,be BEL,FW,29.0,38,28,2546.0,28.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,1.0
Arsenal,Gabriel Magalhães,br BRA,DF,26.0,28,28,2363.0,26.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0
Arsenal,Jurriën Timber,nl NED,DF,23.0,30,27,2417.0,26.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0
Arsenal,Martin Ødegaard,no NOR,MF,25.0,30,26,2325.0,25.8,3.0,8.0,11.0,2.0,1.0,1.0,4.0,0.0
Arsenal,Gabriel Martinelli,br BRA,"FW,MF",23.0,33,25,2290.0,25.4,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0
Arsenal,Kai Havertz,de GER,"FW,MF",25.0,23,21,1875.0,20.8,9.0,3.0,12.0,9.0,0.0,0.0,5.0,0.0
Arsenal,Bukayo Saka,eng ENG,"FW,MF",22.0,25,20,1729.0,19.2,6.0,10.0,16.0,5.0,1.0,1.0,3.0,0.0
Arsenal,Mikel Merino,es ESP,"MF,FW",28.0,28,17,1586.0,17.6,7.0,2.0,9.0,7.0,0.0,0.0,4.0,1.0
Arsenal,Myles Lewis-Skelly,eng ENG,DF,17.0,23,15,1369.0,15.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0
Arsenal,Ben White,eng ENG,DF,26.0,17,13,1198.0,13.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
Arsenal,Riccardo Calafiori,it ITA,DF,22.0,19,11,983.0,10.9,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0
Arsenal,Ethan Nwaneri,eng ENG,"FW,MF",17.0,26,11,895.0,9.9,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0
Arsenal,Jakub Kiwior,pl POL,DF,24.0,17,10,1122.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Arsenal,Jorginho,it ITA,MF,32.0,15,9,704.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Arsenal,Raheem Sterling,eng ENG,"FW,MF",29.0,17,7,499.0,5.5,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
Arsenal,Gabriel Jesus,br BRA,FW,27.0,17,6,608.0,6.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0
Arsenal,Oleksandr Zinchenko,ua UKR,"DF,MF",27.0,15,5,527.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Arsenal,Kieran Tierney,sct SCO,"DF,FW",27.0,13,2,259.0,2.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Arsenal,Nathan Butler-Oyedeji,eng ENG,FW,21.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Takehiro Tomiyasu,jp JPN,DF,25.0,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Reiss Nelson,eng ENG,FW,24.0,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Brayden Clarke,wls WAL,DF,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Jimi Gower,eng ENG,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Ayden Heaven,eng ENG,DF,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Jack Henry-Francis,ie IRL,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Ismeal Kabia,eng ENG,MF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Maldini Kacurri,al ALB,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Neto,br BRA,GK,35.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Josh Nichols,eng ENG,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Eddie Nketiah,eng ENG,FW,25.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Salah Oulad M'Hand,nl NED,MF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Jack Porter,eng ENG,GK,16.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Aaron Ramsdale,eng ENG,GK,26.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,Tommy Setford,eng ENG,GK,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Joško Gvardiol,hr CRO,DF,22.0,37,36,3277.0,36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0
Manchester City,Erling Haaland,no NOR,FW,24.0,31,31,2736.0,30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0
Manchester City,Bernardo Silva,pt POR,"MF,FW",29.0,33,29,2670.0,29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0
Manchester City,Ederson,br BRA,GK,30.0,26,26,2320.0,25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0
Manchester City,Rúben Dias,pt POR,DF,27.0,27,25,2271.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Manchester City,İlkay Gündoğan,de GER,MF,33.0,33,25,2223.0,24.7,1.0,6.0,7.0,1.0,0.0,0.0,1.0,0.0
Manchester City,Mateo Kovačić,hr CRO,MF,30.0,31,25,2198.0,24.4,6.0,2.0,8.0,6.0,0.0,0.0,5.0,1.0
Manchester City,Manuel Akanji,ch SUI,DF,29.0,26,23,2014.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Manchester City,Rico Lewis,eng ENG,"DF,MF",19.0,28,21,1893.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0
Manchester City,Sávio,br BRA,"FW,MF",20.0,29,21,1766.0,19.6,1.0,8.0,9.0,1.0,0.0,0.0,3.0,0.0
Manchester City,Phil Foden,eng ENG,"MF,FW",24.0,28,20,1777.0,19.7,7.0,2.0,9.0,7.0,0.0,0.0,2.0,0.0
Manchester City,Kevin De Bruyne,be BEL,"MF,FW",33.0,28,19,1702.0,18.9,4.0,7.0,11.0,4.0,0.0,0.0,2.0,0.0
Manchester City,Matheus Nunes,pt POR,"DF,MF",25.0,26,19,1674.0,18.6,1.0,6.0,7.0,1.0,0.0,0.0,4.0,0.0
Manchester City,Jeremy Doku,be BEL,"FW,MF",22.0,29,16,1516.0,16.8,3.0,6.0,9.0,3.0,0.0,0.0,1.0,0.0
Manchester City,Omar Marmoush,eg EGY,"FW,MF",25.0,16,14,1175.0,13.1,7.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0
Manchester City,Stefan Ortega,de GER,GK,31.0,13,12,1100.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Manchester City,Kyle Walker,eng ENG,DF,34.0,15,9,970.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Manchester City,Nicolás González,es ESP,MF,22.0,11,9,760.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0
Manchester City,Nathan Aké,nl NED,DF,29.0,10,8,678.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Jack Grealish,eng ENG,"FW,MF",28.0,20,7,721.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0
Manchester City,John Stones,eng ENG,"DF,MF",30.0,11,6,548.0,6.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Manchester City,Nico O’Reilly,eng ENG,DF,19.0,9,6,528.0,5.9,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Manchester City,Abdukodir Khusanov,uz UZB,DF,20.0,6,6,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Manchester City,James Mcatee,eng ENG,"MF,FW",21.0,15,3,349.0,3.9,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0
Manchester City,Jahmai Simpson-Pusey,eng ENG,DF,18.0,2,1,96.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Manchester City,Rodri,es ESP,MF,28.0,3,1,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Divin Mubama,eng ENG,FW,19.0,1,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Oscar Bobb,no NOR,FW,21.0,3,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Claudio Echeverri,ar ARG,FW,18.0,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Vitor Reis,br BRA,DF,18.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Max Alleyne,eng ENG,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Thorsten Brits,eng ENG,GK,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Scott Carson,eng ENG,GK,38.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Issa Kaboré,bf BFA,"DF,MF",23.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Josh Wilson-Esbrand,eng ENG,DF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester City,Jacob Wright,eng ENG,MF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Moisés Caicedo,ec ECU,"MF,DF",22.0,38,38,3351.0,37.2,1.0,2.0,3.0,1.0,0.0,0.0,11.0,0.0
Chelsea,Cole Palmer,eng ENG,"MF,FW",22.0,37,36,3191.0,35.5,15.0,8.0,23.0,11.0,4.0,5.0,7.0,0.0
Chelsea,Levi Colwill,eng ENG,DF,21.0,35,35,3149.0,35.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,0.0
Chelsea,Marc Cucurella,es ESP,DF,26.0,36,33,2988.0,33.2,5.0,1.0,6.0,5.0,0.0,0.0,10.0,1.0
Chelsea,Enzo Fernández,ar ARG,MF,23.0,36,32,2947.0,32.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0
Chelsea,Robert Sánchez,es ESP,GK,26.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Chelsea,Nicolas Jackson,sn SEN,FW,23.0,30,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0
Chelsea,Noni Madueke,eng ENG,FW,22.0,32,27,2033.0,22.6,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0
Chelsea,Pedro Neto,pt POR,FW,24.0,35,24,2269.0,25.2,4.0,6.0,10.0,4.0,0.0,0.0,8.0,0.0
Chelsea,Malo Gusto,fr FRA,DF,21.0,32,19,1862.0,20.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
Chelsea,Jadon Sancho,eng ENG,FW,24.0,31,19,1764.0,19.6,3.0,4.0,7.0,3.0,0.0,0.0,2.0,0.0
Chelsea,Tosin Adarabioyo,eng ENG,DF,26.0,22,15,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0
Chelsea,Wesley Fofana,fr FRA,DF,23.0,14,14,1172.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
Chelsea,Reece James,eng ENG,"DF,MF",24.0,19,12,1063.0,11.8,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
Chelsea,Trevoh Chalobah,eng ENG,DF,25.0,13,11,910.0,10.1,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Chelsea,Roméo Lavia,be BEL,MF,20.0,16,11,797.0,8.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
Chelsea,Christopher Nkunku,fr FRA,FW,26.0,27,9,921.0,10.2,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0
Chelsea,Filip Jørgensen,dk DEN,GK,22.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Axel Disasi,fr FRA,DF,26.0,6,4,364.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
Chelsea,João Félix,pt POR,"FW,MF",24.0,12,3,369.0,4.1,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0
Chelsea,Benoît Badiashile,fr FRA,DF,23.0,5,3,334.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",25.0,13,2,264.0,2.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Joshua Acheampong,eng ENG,DF,18.0,4,2,170.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Chelsea,Tyrique George,eng ENG,FW,18.0,8,1,183.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0
Chelsea,Renato Veiga,pt POR,"DF,MF",21.0,7,1,181.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Chelsea,Mykhailo Mudryk,ua UKR,FW,23.0,7,1,151.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Marc Guiu,es ESP,FW,18.0,3,0,73.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Mathis Amougou,fr FRA,MF,18.0,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Shumaira Mheuka,eng ENG,MF,16.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Aaron Anselmino,ar ARG,DF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Genesis Antwi,se SWE,MF,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Marcus Bettinelli,eng ENG,GK,32.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Cesare Casadei,it ITA,MF,21.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Samuel Rak-Sakyi,eng ENG,MF,19.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,Ishé Samuels-Smith,eng ENG,DF,18.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Bruno Guimarães,br BRA,MF,26.0,38,38,3271.0,36.3,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0
Newcastle Utd,Dan Burn,eng ENG,DF,32.0,37,37,3330.0,37.0,1.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0
Newcastle Utd,Alexander Isak,se SWE,FW,24.0,34,34,2756.0,30.6,23.0,6.0,29.0,19.0,4.0,4.0,1.0,0.0
Newcastle Utd,Fabian Schär,ch SUI,DF,32.0,34,33,2934.0,32.6,4.0,0.0,4.0,4.0,0.0,0.0,9.0,1.0
Newcastle Utd,Valentino Livramento,eng ENG,DF,21.0,37,32,2840.0,31.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Newcastle Utd,Jacob Murphy,eng ENG,FW,29.0,35,31,2360.0,26.2,8.0,12.0,20.0,8.0,0.0,0.0,4.0,0.0
Newcastle Utd,Joelinton,br BRA,"MF,FW",27.0,29,29,2393.0,26.6,4.0,3.0,7.0,4.0,0.0,0.0,10.0,0.0
Newcastle Utd,Sandro Tonali,it ITA,MF,24.0,36,28,2630.0,29.2,4.0,2.0,6.0,4.0,0.0,0.0,5.0,0.0
Newcastle Utd,Nick Pope,eng ENG,GK,32.0,28,28,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Newcastle Utd,Anthony Gordon,eng ENG,"FW,MF",23.0,34,28,2434.0,27.0,6.0,5.0,11.0,5.0,1.0,2.0,2.0,0.0
Newcastle Utd,Lewis Hall,eng ENG,DF,19.0,27,24,2189.0,24.3,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0
Newcastle Utd,Harvey Barnes,eng ENG,FW,26.0,33,17,1755.0,19.5,9.0,4.0,13.0,9.0,0.0,0.0,0.0,0.0
Newcastle Utd,Kieran Trippier,eng ENG,DF,33.0,25,14,1309.0,14.5,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0
Newcastle Utd,Joe Willock,eng ENG,"MF,FW",24.0,32,11,1086.0,12.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0
Newcastle Utd,Martin Dúbravka,sk SVK,GK,35.0,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Sean Longstaff,eng ENG,MF,26.0,25,8,798.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Newcastle Utd,Sven Botman,nl NED,DF,24.0,8,6,412.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Newcastle Utd,Lloyd Kelly,eng ENG,DF,25.0,10,4,303.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
Newcastle Utd,Callum Wilson,eng ENG,FW,32.0,18,2,370.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Newcastle Utd,Emil Krafth,se SWE,DF,29.0,12,2,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Newcastle Utd,Lewis Miley,eng ENG,MF,18.0,14,1,313.0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Newcastle Utd,Miguel Almirón,py PAR,FW,30.0,9,1,157.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,William Osula,dk DEN,FW,20.0,14,0,134.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Newcastle Utd,Matt Targett,eng ENG,DF,28.0,2,0,21.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Jamaal Lascelles,eng ENG,DF,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Alex Murphy,ie IRL,DF,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Sean Neave,eng ENG,FW,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,John Ruddy,eng ENG,GK,37.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Leo Shahar,eng ENG,DF,17.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newcastle Utd,Odysseas Vlachodimos,gr GRE,GK,30.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aston Villa,Emiliano Martínez,ar ARG,GK,31.0,37,37,3194.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0
Aston Villa,Morgan Rogers,eng ENG,"FW,MF",22.0,37,37,3114.0,34.6,8.0,10.0,18.0,8.0,0.0,0.0,10.0,0.0
Aston Villa,Youri Tielemans,be BEL,MF,27.0,36,35,3026.0,33.6,3.0,7.0,10.0,3.0,0.0,1.0,4.0,0.0
Aston Villa,Ezri Konsa,eng ENG,DF,26.0,34,33,2936.0,32.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
Aston Villa,Ollie Watkins,eng ENG,FW,28.0,38,31,2598.0,28.9,16.0,8.0,24.0,14.0,2.0,2.0,2.0,0.0
Aston Villa,Lucas Digne,fr FRA,DF,31.0,32,28,2351.0,26.1,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0
Aston Villa,John McGinn,sct SCO,"MF,FW",29.0,34,27,2223.0,24.7,1.0,4.0,5.0,1.0,0.0,0.0,7.0,0.0
Aston Villa,Matty Cash,pl POL,DF,26.0,27,24,2070.0,23.0,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0
Aston Villa,Pau Torres,es ESP,DF,27.0,24,23,2020.0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Aston Villa,Boubacar Kamara,fr FRA,MF,24.0,26,20,1726.0,19.2,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0
Aston Villa,Amadou Onana,be BEL,MF,22.0,26,20,1617.0,18.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0
Aston Villa,Jacob Ramsey,eng ENG,"FW,MF",23.0,29,19,1623.0,18.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,1.0
Aston Villa,Leon Bailey,jm JAM,"FW,MF",26.0,24,14,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0
Aston Villa,Tyrone Mings,eng ENG,DF,31.0,14,12,1120.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aston Villa,Ian Maatsen,nl NED,DF,22.0,29,10,1139.0,12.7,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0
Aston Villa,Marco Asensio,es ESP,MF,28.0,13,9,743.0,8.3,3.0,1.0,4.0,3.0,0.0,2.0,2.0,0.0
Aston Villa,Diego Carlos,br BRA,DF,31.0,10,8,830.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Aston Villa,Axel Disasi,fr FRA,DF,26.0,7,5,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Aston Villa,Lamare Bogarde,nl NED,"DF,MF",20.0,8,5,476.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Aston Villa,Andrés García,es ESP,"DF,MF",21.0,7,5,318.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
